a,b,c,output
0.513489002,4.63792137,2.05139698,1.446219108
0.970074587,4.656629434,33.16383212,29.86470224
0.323911006,8.747860441,49.62102167,3.541969224
0.627577402,2.108753477,47.1337964,11.22394715
0.167377976,0.521238589,27.14256746,1.737647141
0.441734723,6.876868789,15.22889614,3.329857965
0.997361465,0.626667618,60.81750151,60.1618737
0.888513222,2.784077053,75.817806,46.79522905
0.91884977,0.095124016,48.90726166,35.66812754
0.299131688,7.08714383,2.572062848,1.32656404
0.330229805,4.691074373,26.58776114,2.954421006
0.704425856,7.672935946,67.80902676,19.49872765
0.664982568,5.434773094,51.10722501,13.68078276
0.671215844,9.572419533,74.94280828,18.12794
0.259453402,8.26347832,5.824532834,1.579608984
0.109148816,5.686676173,63.06160092,1.571962632
0.761477657,0.144684284,99.11880008,33.11526396
0.000316908,1.103628224,3.731683801,1.00041741
0.841484051,1.522550992,70.37291094,35.85603614
0.377879189,1.82050922,45.10032296,4.217742532
0.992996021,3.699361745,17.38552048,17.04125002
0.549984008,6.695647699,74.78677209,10.72935632
0.208604659,2.802206,48.62844588,2.24850157
0.476474076,3.134820236,50.03127312,6.451260051
0.040995501,0.49766036,67.60470497,1.188559209
0.637791978,2.603352714,10.93480557,4.59775012
0.502928418,7.595716331,98.43617461,10.05574274
0.297406497,5.254186219,78.20483193,3.656452772
0.99312695,8.941981895,10.89732597,10.71989151
0.91015369,3.052559089,19.82611932,15.15952851
