a,b
12,42
6,24
54,168
2,12
56,174
2,12
4,18
9,33
6,24
3,15
0.9,8.7
0.65,7.95
0.36,7.08
3.56,16.68
4.21,18.63
6.32,24.96
10,36
10.35,37.05
0.21,6.63
2.64,13.92
6.26,24.78
4.75,20.25
9.17,33.51
3.48,16.44
8.93,32.79
2.21,12.63
3.49,16.47
6.4,25.2
5,21
6.47,25.41
7.61,28.83
7.99,29.97
7.33,27.99
2.6,13.8
3.84,17.52
0.04,6.12
7.22,27.66
6.2,24.6
6.2,24.6
1.9,11.7
4.3,18.9
6.54,25.62
0.75,8.25
3.44,16.32
2.3,12.9
0.63,7.89
4.86,20.58
7.67,29.01
1.95,11.85
3.08,15.24
3.85,17.55
4.98,20.94
3.64,16.92
4.08,18.24
5.41,22.23
1.23,9.69
8.01,30.03
2.5,13.5
3.69,17.07
2.77,14.31
2.24,12.72
1.66,10.98
5.29,21.87
4.88,20.64
3.49,16.47
3.23,15.69
8.74,32.22
4.33,18.99
8.54,31.62
8.24,30.72
7.6,28.8
2.89,14.67
0.5,7.5
5.32,21.96
4.79,20.37
6.33,24.99
9.43,34.29
2.9,14.7
2.52,13.56
2.53,13.59
3.23,15.69
6.35,25.05
7.63,28.89
3.18,15.54
9.63,34.89
0.87,8.61
7.22,27.66
5.69,23.07
7.64,28.92
8.07,30.21
2.79,14.37
6.1,24.3
9.21,33.63
7.54,28.62
4.46,19.38
8.82,32.46
7.9,29.7
4.55,19.65
8.44,31.32
6.47,25.41
32,102
26,84
44,138
