a,b,c,d
4,0.6,1,-12.43535753
1.4,8.5,4,43.19848711
6.3,8.3,7,122.7021718
3.7,3,32,3057.34112
2.7,7.6,2.12,3.651119672
1.6,9.7,0.5,-5.921760626
2.1,2.6,64,12280.1155
9.1,6,12,395.3205845
7.4,1.7,13,478.3916648
0.6,3.6,14.5,627.9074796
4.7,7,20.7,1267.326987
0.6,6.9,9.8,286.2984398
9.2,5.9,3.4,-2.493876665
4.5,2,3.14,12.48809743
2.8,0.4,12.9,488.4194183
8.1,10,25.8,1963.975979
6.5,5.9,30,2673.626123
6.8,0.2,7.9,160.2286693
5.9,7.5,6.4,100.218
6.7,6.8,51,7776.694113
0.9,2.3,6,105.1457052
8.2,1.8,54,8716.173848
3.8,3.4,2,-3.455541102
9.6,6.3,56,9369.616814
0.8,9.8,2,8.433520871
7.6,0.5,4,18.07942554
4,0.6,9,227.5646425
1.4,8.5,6,103.1984871
6.3,8.3,3,2.702171834
3.7,3,0.9,-12.22887999
2.7,7.6,0.65,-8.564580328
1.6,9.7,0.36,-6.282960626
2.1,2.6,3.56,30.13630137
9.1,6,4.21,16.4928845
7.4,1.7,6.32,91.21886481
0.6,3.6,10,297.1574796
4.7,7,10.35,303.2244866
0.6,6.9,0.21,-1.689260236
9.2,5.9,2.64,-16.26507666
4.5,2,6.26,100.4720974
2.8,0.4,4.75,56.87691834
8.1,10,9.17,219.3226789
6.5,5.9,3.48,9.957323335
6.8,0.2,8.93,212.2333693
5.9,7.5,2.21,-8.009700023
6.7,6.8,3.49,10.23441335
0.9,2.3,6.4,120.0257052
8.2,1.8,5,43.17384763
3.8,3.4,6.47,110.1271589
9.6,6.3,7.61,135.3531139
0.8,9.8,7.99,187.9538209
7.6,0.5,7.33,131.2661255
4,0.6,2.6,4.844642473
1.4,8.5,3.84,39.43528711
6.3,8.3,0.04,-24.29302817
3.7,3,7.22,141.72632
2.7,7.6,6.2,105.4879197
1.6,9.7,6.2,108.6482394
2.1,2.6,1.9,2.945501372
9.1,6,4.3,18.7905845
7.4,1.7,6.54,99.70646481
0.6,3.6,0.75,-1.155020443
4.7,7,3.44,17.3577866
0.6,6.9,2.3,14.04843976
9.2,5.9,0.63,-35.98317666
4.5,2,4.86,53.76809743
2.8,0.4,7.67,165.6761183
8.1,10,1.95,-21.53652111
6.5,5.9,3.08,2.085323335
6.8,0.2,3.85,17.46616933
5.9,7.5,4.98,51.73919998
6.7,6.8,3.64,13.44291335
0.9,2.3,4.08,47.08490521
8.2,1.8,5.41,55.97814763
3.8,3.4,1.23,-10.9168411
9.6,6.3,8.01,154.0971139
0.8,9.8,2.5,15.18352087
7.6,0.5,3.69,10.92772554
4,0.6,2.77,7.583342473
1.4,8.5,2.24,10.25128711
6.3,8.3,1.66,-16.03102817
3.7,3,5.29,69.29342001
2.7,7.6,4.88,61.61111967
1.6,9.7,3.49,29.86853937
2.1,2.6,3.23,23.41420137
9.1,6,8.74,192.4833845
7.4,1.7,4.33,27.63836481
0.6,3.6,8.54,215.9522796
4.7,7,8.24,185.5497866
0.6,6.9,7.6,171.4584398
9.2,5.9,2.89,-12.11757666
4.5,2,0.5,-16.34070257
2.8,0.4,5.32,74.09661834
8.1,10,4.79,35.88827889
6.5,5.9,6.33,93.83282334
6.8,0.2,9.43,239.7733693
5.9,7.5,2.9,2.567999977
6.7,6.8,2.52,-7.254686649
0.9,2.3,2.53,16.34840521
8.2,1.8,3.23,-0.527452369
3.8,3.4,6.35,105.5119589
9.6,6.3,7.63,136.2675139
0.8,9.8,3.18,26.77072087
7.6,0.5,9.63,248.2901255
4,0.6,0.87,-13.16465753
1.4,8.5,7.22,151.5836871
6.3,8.3,5.69,72.83047183
3.7,3,7.64,160.44992
2.7,7.6,8.07,185.5426197
1.6,9.7,2.79,16.68053937
2.1,2.6,6.1,103.7455014
9.1,6,9.21,217.7928845
7.4,1.7,7.54,141.9464648
0.6,3.6,4.46,56.83227956
4.7,7,8.82,215.2341866
0.6,6.9,7.9,185.4084398
9.2,5.9,4.55,24.93362334
4.5,2,8.44,196.6100974
2.8,0.4,6.47,114.7721183
8.1,10,32,3039.055979
6.5,5.9,26,2001.626123
6.8,0.2,44,5780.998669
