a,b,c,output
0.038106016,7.584152174,42.29580892,85.73198774
0.106221518,7.633277056,1.930381271,4.02975475
0.517255959,6.161468195,15.11336901,27.99812292
0.858873324,0.788748483,93.58290373,-21.34907858
0.926906669,4.873325493,86.63334399,138.1347659
0.017980776,8.40649142,77.56096704,165.145605
0.080098565,9.58003446,74.61999132,168.6974893
0.223724779,5.690613673,95.56588812,166.3954202
0.085132872,9.745546993,85.07307514,193.7804004
0.637835961,4.640519452,81.78937766,126.1703247
0.755856538,3.058256428,18.67772983,21.63466267
0.056525244,0.030205375,82.75300154,-289.557084
0.209309751,8.121748808,85.31971394,178.9153328
0.972344358,5.426229034,30.75709874,52.99011609
0.384531447,9.554433454,2.419023607,5.844280508
0.095533038,3.440541449,47.08867223,58.27965528
0.469378209,3.334071138,96.85120416,117.0970289
0.326307533,6.949212337,58.36377948,113.4719833
0.290229632,1.834922741,60.40132883,36.95397985
0.510021555,9.848438021,18.99598458,43.95978149
0.705727948,2.461501271,84.13243591,76.48982309
0.282334114,2.685636644,78.64653748,77.9786493
0.687835314,9.483978745,52.15018263,118.0050909
0.380906661,6.632139929,49.89513855,94.77889223
0.97870796,2.018273878,58.65435934,42.16829954
0.7256951,8.875494786,29.34338877,64.79094221
0.96746702,8.381546927,12.03552793,26.55539049
0.844154391,3.093530049,54.43664146,62.32015308
0.52324555,1.035701344,28.47733113,1.522196858
0.108998812,5.400243867,17.15526676,29.04039745
