Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
,,,,,,,,
108.3,162.4,0,203.5,0,938.2,849,3,2.33
,,,,,,,,
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
,,,,,,,,
102,153,0,192,0,887,942,3,4.57
,,,,,,,,
153,102,0,192,0,888,943.1,3,4.78
,,,,,,,,
141.3,212,0,203.5,0,971.8,748.5,3,4.83
,,,,,,,,
183.9,122.6,0,203.5,0,959.2,800,3,4.9
,,,,,,,,
385,0,0,186,0,966,763,1,6.27
,,,,,,,,
116,173,0,192,0,909.8,891.9,3,6.28
,,,,,,,,
236,0,0,194,0,968,885,3,6.47
,,,,,,,,
212,141.3,0,203.5,0,973.4,750,3,6.81
,,,,,,,,
133,200,0,192,0,927.4,839.2,3,6.88
,,,,,,,,
166.8,250.2,0,203.5,0,975.6,692.6,3,6.9
,,,,,,,,
173,116,0,192,0,946.8,856.8,3,6.94
,,,,,,,,
182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32
,,,,,,,,
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
,,,,,,,,
135.7,203.5,0,185.7,0,1076.2,759.3,7,7.51
,,,,,,,,
102,153,0,192,0,887,942,7,7.68
,,,,,,,,
108.3,162.4,0,203.5,0,938.2,849,7,7.72
,,,,,,,,
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
,,,,,,,,
200,0,0,180,0,1125,845,7,7.84
,,,,,,,,
186.2,124.1,0,185.7,0,1083.4,764.3,7,8
,,,,,,,,
139.6,209.4,0,192,0,1047,806.9,3,8.06
,,,,,,,,
255,0,0,192,0,889.8,945,3,8.2
,,,,,,,,
153,102,0,192,0,888,943.1,7,8.37
,,,,,,,,
250,0,95.7,191.8,5.3,948.9,857.2,3,8.49
,,,,,,,,
158,0,195,220,11,898,713,28,8.54
,,,,,,,,
158.4,0,194.9,219.7,11,897.7,712.9,28,8.54
,,,,,,,,
349,0,0,192,0,1056,809,7,9.01
,,,,,,,,
198.6,132.4,0,192,0,978.4,825.5,3,9.13
,,,,,,,,
254,0,0,198,0,968,863,3,9.31
,,,,,,,,
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
,,,,,,,,
203.5,305.3,0,203.5,0,963.4,630,3,9.56
,,,,,,,,
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62
,,,,,,,,
157,236,0,192,0,935.4,781.2,3,9.69
,,,,,,,,
250.2,166.8,0,203.5,0,977.6,694.1,3,9.73
,,,,,,,,
155,0,143,193,9,877,868,28,9.74
,,,,,,,,
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74
,,,,,,,,
202,11,141,206,1.7,942,801,3,9.85
,,,,,,,,
310,0,0,192,0,971,850.6,3,9.87
,,,,,,,,
236,0,0,193,0,968,885,7,9.99
,,,,,,,,
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03
,,,,,,,,
116,173,0,192,0,909.8,891.9,7,10.09
,,,,,,,,
255,0,0,192,0,889.8,945,7,10.22
,,,,,,,,
238.1,0,0,185.7,0,1118.8,789.3,7,10.34
,,,,,,,,
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
,,,,,,,,
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38
,,,,,,,,
141.3,212,0,203.5,0,971.8,748.5,7,10.39
,,,,,,,,
145,0,179,202,8,824,869,28,10.54
,,,,,,,,
145.4,0,178.9,201.7,7.8,824,868.7,28,10.54
,,,,,,,,
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73
,,,,,,,,
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
,,,,,,,,
183.9,122.6,0,203.5,0,959.2,800,7,10.79
,,,,,,,,
225,0,0,181,0,1113,833,7,11.17
,,,,,,,,
277,0,0,191,0,968,856,3,11.36
,,,,,,,,
173,116,0,192,0,946.8,856.8,7,11.39
,,,,,,,,
200,133,0,192,0,965.4,806.2,3,11.41
,,,,,,,,
382,0,0,186,0,1111,784,7,11.47
,,,,,,,,
252,0,0,186,0,1111,784,7,11.47
,,,,,,,,
252.5,0,0,185.7,0,1111.6,784.3,7,11.48
,,,,,,,,
222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
,,,,,,,,
289,0,0,192,0,913.2,895.3,3,11.65
,,,,,,,,
310,0,0,192,0,1012,830,3,11.85
,,,,,,,,
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96
,,,,,,,,
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98
,,,,,,,,
238,0,0,186,0,1119,789,7,12.05
,,,,,,,,
194.7,0,100.5,170.2,7.5,998,901.8,3,12.18
,,,,,,,,
152,0,112,184,8,992,816,28,12.18
,,,,,,,,
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
,,,,,,,,
200,0,0,180,0,1125,845,28,12.25
,,,,,,,,
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37
,,,,,,,,
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
,,,,,,,,
155,0,143,193,9,1047,697,28,12.46
,,,,,,,,
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
,,,,,,,,
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47
,,,,,,,,
307,0,0,193,0,968,812,3,12.54
,,,,,,,,
190.3,0,125.2,166.6,9.9,1079,798.9,3,12.55
,,,,,,,,
500,0,0,200,0,1125,613,1,12.64
,,,,,,,,
250,0,0,182,0,1100,820,7,12.73
,,,,,,,,
192,288,0,192,0,929.8,716.1,3,12.79
,,,,,,,,
236,0,0,194,0,968,885,14,12.84
,,,,,,,,
220.8,147.2,0,185.7,0,1055,744.3,7,13.09
,,,,,,,,
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12
,,,,,,,,
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
,,,,,,,,
145,0,134,181,11,979,812,28,13.2
,,,,,,,,
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.2
,,,,,,,,
339,0,0,197,0,968,781,3,13.22
,,,,,,,,
135,0,166,180,10,961,805,28,13.29
,,,,,,,,
134.7,0,165.7,180.2,10,961,804.9,28,13.29
,,,,,,,,
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33
,,,,,,,,
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36
,,,,,,,,
284,15,141,179,5.5,842,801,3,13.4
,,,,,,,,
151,0,185,167,16,1074,678,28,13.46
,,,,,,,,
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46
,,,,,,,,
331,0,0,192,0,978,825,3,13.52
,,,,,,,,
331,0,0,192,0,879,825,3,13.52
,,,,,,,,
212.5,0,100.4,159.3,8.7,1007.8,903.6,3,13.54
,,,,,,,,
236,157,0,192,0,972.6,749.1,3,13.57
,,,,,,,,
181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62
